input_size,exec_time_insertion,exec_time_merge
5220,2925998300,36001500
5230,2545003900,36016000
5240,2923999900,40035800
5250,3292995900,32999900
5260,3642998000,50999300
5270,4120987300,67999600
5280,4494996800,53002600
5290,4617998000,64999700
5300,4944000300,68000800
5310,4327996100,56001600
5320,3739998000,50999200
5330,4148996100,51001600
5340,5711006000,101996400
5350,5626996000,45004500
5360,4867998100,84997700
5370,4138997800,39999300
5380,4483519600,66004400
5390,3823000300,51997200
5400,3514996300,40999000
5410,2905002300,37997800
5420,3256010500,46991800
5430,2986993100,33000100
5440,3809002400,57998200
5450,4891005000,78992500
5460,4807988700,47001500
5470,4060998700,111000000
5480,3668040500,43960800
5490,3029000700,48000400
5500,4390529400,50996600
5510,5351999400,60000000
5520,5864008500,68996000
5530,4815000300,41993900
5540,5272000200,60999200
5550,5111002500,47998900
5560,4749997500,51018900
5570,4891997900,81000300
5580,4403999600,59000100
5590,4759001100,38002600
5600,6176003500,75997700
5610,5618002000,48998400
5620,5058048000,72997400
5630,5857003100,117000100
5640,5670993700,52000800
5650,3405002400,54998100
5660,3724995700,32999900
5670,3550002300,78006500
5680,4367982000,70004000
5690,6235001600,99997000
5700,6457991200,69006500
5710,5529999300,68999800
5720,5615001900,103998900
5730,4130999100,44000900
5740,8591551600,119994000
5750,6149015500,164987800
5760,12926715400,174002900
5770,10234556300,80001600
5780,15972997700,33998100
5790,2224001600,26038600
5800,7478566000,349019900
5810,6757996500,35002200
5820,3311997200,43000500
5830,3339004300,38997300
5840,3371998700,41997900
5850,2995003200,38000200
5860,3167999700,35996400
5870,3352003800,34995300
5880,2967998800,52001000
5890,3398002000,35998900
5900,3475217500,34000100
5910,3012187500,54025300
5920,4090525200,48001800
5930,3454994300,49002200
5940,3064002000,38996400
5950,3356003100,38997400
5960,3385043400,49003600
5970,3098997500,36999200
5980,3300997200,42000900
5990,3367998800,43077400
6000,3232996600,43003700
6010,3276999900,48000600
6020,3246997700,39000900
6030,3502004800,45995000
6040,3622995800,46998600
6050,3804006500,40992700
6060,3422995600,39005200
6070,3277002900,41011800
6080,4208994200,48003100
6090,5648997600,94002500
6100,4659998000,58999000
6110,3360997100,38002000
6120,3893966300,45994700
6130,3173401600,40955700
6140,3463002500,41996300
6150,3719000700,34995100
6160,3492997800,48997700
6170,3405996400,35997200
6180,3549993300,39003000
6190,3625339900,38002000
6200,3305999000,34998200
6210,3512005000,38995900
6220,3573000900,44999100
6230,3303000500,61011500
6240,3509994200,35000200
6250,3741002700,35997500
6260,3626996100,61000300
6270,3455998000,39999200
6280,4316000100,46004300
6290,3699997400,43000000
6300,3643919100,38004100
6310,3396998700,45004600
6320,3548999900,39997700
6330,3675003000,41991500
6340,3616989900,47997500
6350,3602999200,45998500
6360,3698977800,69998600
6370,3761051700,50986600
6380,3757998800,39006200
6390,3559993900,43999500
6400,3678041700,35956100
6410,3654994600,33999500
6420,3687999900,62997800
6430,3573048300,58008100
6440,3811992200,54995600
6450,4119995900,43001300
6460,4291995500,40999400
6470,5194002100,74998000
6480,5926998800,64999900
6490,5598000300,63002000
6500,5059999500,39998700
6510,3864002500,38999800
6520,3893002800,62003500
6530,3727996800,54001000
6540,3847058200,41977700
6550,3890993200,44005000
6560,3941991200,41001700
6570,3900030900,42005500
6580,3733996000,54000800
6590,4013000900,48999700
6600,4282999400,52001100
6610,4495002000,60998700
6620,3797566000,35998000
6630,4004001600,52000000
6640,3754001600,40002100
6650,3824996800,67002300
6660,4199979800,41000000
6670,3960374900,45002300
6680,4048007500,56990700
6690,3807048400,39952500
6700,3880995200,41052700
6710,4068000400,49002400
6720,4141991600,59002600
6730,4095997400,52999100
6740,3859997600,64002300
6750,4227995400,53003600
6760,4611001100,42998400
6770,4393000500,42002600
6780,4209003500,41997300
6790,4132998700,37000300
6800,4233000700,53997500
6810,4042997700,42057600
6820,4153400400,38003200
6830,4296053500,37946300
6840,4221988700,46045500
6850,4317999800,50001400
6860,4160996200,55001000
6870,4620870500,47005000
6880,4101991800,76002000
6890,4205007800,51991200
6900,4424988500,48997800
6910,4523995000,44997600
6920,5004983100,41002100
6930,4517005000,83999300
6940,5234985100,74998600
6950,5116003000,71999700
6960,4293544800,48000600
6970,4662000100,42009300
6980,4431997000,46002200
6990,4411002000,48999400
7000,4478960200,52989400
7010,4527027400,53999500
7020,4288961200,73002300
7030,4321996400,40001700
7040,4728002000,53996800
7050,4830000900,84998000
7060,4986031800,40002900
7070,4494999400,51000000
7080,4520987400,45000000
7090,4437000500,49000600
7100,4574055700,43000100
7110,4552999300,55002300
7120,4494000500,40001000
7130,4550990400,51998500
7140,4613000900,44996600
7150,4663992400,55990200
7160,4536000200,70998600
7170,5012995300,59003000
7180,4754016700,64998000
7190,7961588800,118998200
7200,6681388200,73001200
7210,4643997400,54002300
7220,4774852800,47011900
7230,5477000300,82997600
7240,7031989900,52008000
7250,6749998800,62001600
7260,7338520100,59004900
7270,6946002900,51000700
7280,7772993400,98001500
7290,9360992000,86996800
7300,8364999100,62000700
7310,7105000600,65005200
7320,4895996500,39999200
7330,4696888800,66511800
7340,6117005100,75994100
7350,5658999400,62998600
7360,5309999400,37996800
7370,4075085500,42001600
7380,5569000700,109997800
7390,6234998300,62999200
7400,7378000000,53995700
7410,4155996800,42998800
7420,4167997800,64999200
7430,4135000100,46997600
7440,4944985600,46999800
7450,4412996300,46001400
7460,5007488600,62997400
7470,7091999900,64000500
7480,5028001600,55000100
7490,6246995700,55000700
7500,6521001700,80001800
7510,8269994500,71001600
7520,6614041000,43961900
7530,4616998000,38000800
7540,6693999800,59997500
7550,5195996500,48000300
7560,6109001300,44035100
7570,5070000000,46997800
7580,5739999100,41002100
7590,5073997700,38000400
7600,5116998800,48003300
7610,6206513800,58002400
7620,7036996300,68001700
7630,9746555800,71002300
7640,8295004900,64995700
7650,9331000500,89999300
7660,7934586000,87999200
7670,8007225200,102997300
7680,6525997800,44000300
7690,5086001800,49997500
7700,5637999500,74999600
7710,9067994700,52002200
7720,6768152400,59997500
7730,7515997200,119006000
7740,5799991300,45012100
7750,7093003200,98999300
7760,6770989100,50053000
7770,6270000800,80002500
7780,6079999400,72001800
7790,7679103900,61998700
7800,5601998100,65999300
7810,8400997700,83000900
7820,5483000000,54002200
7830,4933003400,43996600
7840,4876995400,60002600
7850,6109000500,39052500
7860,5808992600,61007500
7870,6276997900,67999500
7880,6263009900,75993000
7890,7275998200,76001600
7900,7703999100,62995800
7910,8755979800,84998700
7920,6982999000,52000400
7930,6077874400,64001800
