input_array,exec_best,exec_worst,exec_avg
29260,3.814697265625e-06,9.775161743164062e-06,8.344650268554688e-06
29510,3.337860107421875e-06,1.0251998901367188e-05,7.3909759521484375e-06
29760,3.337860107421875e-06,9.298324584960938e-06,7.62939453125e-06
30010,3.5762786865234375e-06,9.775161743164062e-06,7.867813110351562e-06
30260,4.0531158447265625e-06,9.775161743164062e-06,6.4373016357421875e-06
30510,3.337860107421875e-06,1.0013580322265625e-05,7.3909759521484375e-06
30760,4.0531158447265625e-06,9.5367431640625e-06,6.9141387939453125e-06
31010,4.0531158447265625e-06,9.5367431640625e-06,8.106231689453125e-06
31260,3.337860107421875e-06,9.5367431640625e-06,7.62939453125e-06
31510,4.0531158447265625e-06,1.0251998901367188e-05,7.3909759521484375e-06
31760,4.5299530029296875e-06,1.049041748046875e-05,6.67572021484375e-06
32010,3.814697265625e-06,1.0251998901367188e-05,7.62939453125e-06
32260,4.5299530029296875e-06,9.775161743164062e-06,8.106231689453125e-06
32510,4.291534423828125e-06,1.0251998901367188e-05,7.3909759521484375e-06
32760,3.5762786865234375e-06,1.0013580322265625e-05,5.7220458984375e-06
33010,3.5762786865234375e-06,1.0967254638671875e-05,7.62939453125e-06
33260,3.337860107421875e-06,1.0728836059570312e-05,6.4373016357421875e-06
33510,5.4836273193359375e-06,1.33514404296875e-05,7.3909759521484375e-06
33760,4.76837158203125e-06,1.1205673217773438e-05,7.867813110351562e-06
34010,4.0531158447265625e-06,1.1444091796875e-05,8.106231689453125e-06
34260,4.0531158447265625e-06,1.0251998901367188e-05,7.3909759521484375e-06
34510,4.5299530029296875e-06,1.1444091796875e-05,5.4836273193359375e-06
34760,3.814697265625e-06,1.0728836059570312e-05,7.867813110351562e-06
35010,4.76837158203125e-06,1.1920928955078125e-05,8.344650268554688e-06
35260,3.5762786865234375e-06,1.0728836059570312e-05,8.106231689453125e-06
35510,4.0531158447265625e-06,1.1205673217773438e-05,7.3909759521484375e-06
35760,3.814697265625e-06,1.1205673217773438e-05,6.67572021484375e-06
36010,5.4836273193359375e-06,1.1444091796875e-05,7.867813110351562e-06
36260,3.814697265625e-06,1.7642974853515625e-05,7.3909759521484375e-06
36510,4.76837158203125e-06,1.0728836059570312e-05,7.3909759521484375e-06
